ID	State0	State1	EstimatedD	NoPhylogeneticStructure	BrownianPhylogeneticStructure	Feature	sort
TE062	4	18	-0.5997072	0.0029	0.7876	Can relational adpositions (e.g. ‘under’) be derived from a place noun (e.g. ‘bottom’) and a locational suffix (e.g. at LOC)?	adposition
TE062	4	18	-0.5997072	0.0029	0.7876	Can relational adpositions (e.g. ‘under’) be derived from a place noun (e.g. ‘bottom’) and a locational suffix (e.g. at LOC)?	flagging
TE066	19	18	-0.7136691	0	0.9742	Is imperative form for 2SG identical to bare verb root?	verbal inflection
TE066	19	18	-0.7136691	0	0.9742	Is imperative form for 2SG identical to bare verb root?	verb
TE078	32	2	-0.03949507	0.0999	0.5241	Are there three laryngeal contrasts for stops?	phonology
TS001	2	32	-0.3797693	0.0477	0.6949	Can numeral precede the noun?	numeral
TS002	25	9	-0.01365451	0	0.5461	Can numeral follow the noun?	numeral
TS001	2	32	-0.3797693	0.0477	0.6949	Can numeral precede the noun?	word order
TS002	25	9	-0.01365451	0	0.5461	Can numeral follow the noun?	word order
TS006	11	25	-0.6670131	0	0.9779	Can adnominal possessor follow the possessed noun?	attributive possession
TS009	5	12	-0.07627096	0.0172	0.5628	Can adnominal collective universal quantifier (‘all’) precede the noun?	UQ
TS010	10	6	0.5079177	0.1508	0.2255	Can adnominal collective universal quantifier (‘all’) follow the noun?	UQ
TS079	22	4	0.08627828	0.0248	0.4848	Is there height vowel harmony?	phonology
TS079	22	4	0.08627828	0.0248	0.4848	Is there height vowel harmony?	phonology
TS080	15	9	-0.4182493	0	0.7945	Is there labial vowel harmony?	phonology
TS080	15	9	-0.4182493	0	0.7945	Is there labial vowel harmony?	phonology
